Periodo de Cobertura,Total_Capitas_Dispersadas,Total_Capitas_Dispersada_mes,Total_Capitas_Dispersada_posterior,Titulares_Total_capitas,Titulares_Dispersadas_mes_capitas,Titulares_Dispersadas_posterior_capitas,Dependientes_Total_capitas,Dependientes_Dispersadas_mes_capitas,Dependientess_Dispersadas_posterior_capitas,Adicionales_Total_capitas,Adicionales_Dispersadas_mes_capitas,Adicionales_Dispersadas_posterior_capitas,Year,Month,Total_Monto_Dispersadas,Total_Monto_Dispersada_mes,Total_Monto_Dispersada_posterior,Titulares_Total_monto,Titulares_Dispersadas_mes_monto,Titulares_Dispersadas_posterior_monto,Dependientes_Total_monto,Dependientes_Dispersadas_mes_monto,Dependientess_Dispersadas_posterior_monto,Adicionales_Total_monto,Adicionales_Dispersadas_mes_monto,Adicionales_Dispersadas_posterior_monto,Tipo_de_ARS
2015-02-01,164409,162822,1587,68014,67278,736,74087,73294,793,22308,22250,58,2015,2,137427818,136101280,1326538,56852211,56237007,615204,61928575,61265721,662854,18647032,18598552,48480,Autogestion
2015-03-01,166169,163884,2285,69915,68150,1765,74018,73513,505,22236,22221,15,2015,3,138898985,136988995,1909990,58441237,56965903,1475334,61870900,61448781,422119,18586848,18574311,12537,Autogestion
2015-04-01,166705,165808,897,70970,70458,512,73538,73158,380,22197,22192,5,2015,4,139347022,138597247,749775,59323101,58895137,427964,61469672,61152040,317632,18554249,18550070,4179,Autogestion
2015-05-01,166837,165953,884,71554,71039,515,73132,72797,335,22151,22117,34,2015,5,139457363,138718452,738911,59811263,59380789,430474,61130302,60850284,280018,18515798,18487379,28419,Autogestion
2015-06-01,167281,166451,830,72610,72081,529,72768,72476,292,21903,21894,9,2015,6,139828503,139134725,693778,60693966,60251787,442179,60826040,60581963,244077,18308497,18300975,7522,Autogestion
2015-07-01,168190,167204,986,73663,73144,519,72521,72060,461,22006,22000,6,2015,7,140588328,139764151,824177,61574158,61140338,433820,60619575,60234233,385342,18394595,18389580,5015,Autogestion
2015-08-01,170068,168954,1114,75191,74600,591,72942,72425,517,21935,21929,6,2015,8,142158124,141226958,931166,62851395,62357394,494001,60971484,60539333,432151,18335245,18330231,5014,Autogestion
2015-09-01,169974,169090,884,75817,75211,606,72205,71931,274,21952,21948,4,2015,9,142079549,141340638,738911,63374661,62868122,506539,60355433,60126403,229030,18349455,18346113,3342,Autogestion
2015-10-01,166837,165888,949,74040,73593,447,70686,70189,497,22111,22106,5,2015,10,139531820,138664119,867701,61924542,61515652,408890,59124916,58670283,454633,18482362,18478184,4178,Autogestion
2015-11-01,165626,164722,904,73314,72793,521,70262,69925,337,22050,22004,46,2015,11,149768942,148945640,823302,67064705,66588124,476581,64272864,63964593,308271,18431373,18392923,38450,Autogestion
2015-12-01,165259,163631,1628,72454,71872,582,70343,69400,943,22462,22359,103,2015,12,151172308,149683092,1489216,66278011,65745630,532381,64346960,63484344,862616,20547337,20453118,94219,Autogestion
2016-01-01,163622,162641,981,71623,71060,563,69522,69330,192,22477,22251,226,2016,1,149674845,148777479,897366,65517846,65002845,515001,63595940,63420310,175630,20561059,20354324,206735,Autogestion
2016-02-01,162923,161410,1513,70918,70259,659,69493,68919,574,22512,22232,280,2016,2,149035424,147651410,1384014,64872939,64270122,602817,63569410,63044344,525066,20593075,20336944,256131,Autogestion
2016-03-01,163297,162391,906,71908,71517,391,69009,68690,319,22380,22184,196,2016,3,149377550,148548789,828761,65778553,65420890,357663,63126670,62834864,291806,20472327,20293035,179292,Autogestion
2016-04-01,162527,161436,1091,71608,71124,484,68553,68073,480,22366,22239,127,2016,4,148673187,147675194,997993,65504127,65061390,442737,62709540,62270457,439083,20459520,20343347,116173,Autogestion
2016-05-01,162199,159909,2290,72064,70177,1887,67877,67564,313,22258,22168,90,2016,5,148373145,146278355,2094790,65921257,64195112,1726145,62091161,61804844,286317,20360727,20278399,82328,Autogestion
2016-06-01,160394,158071,2323,71238,69226,2012,66912,66675,237,22244,22170,74,2016,6,146722003,144597027,2124976,65165665,63325175,1840490,61208418,60991623,216795,20347920,20280229,67691,Autogestion
2016-07-01,158928,156667,2261,70254,68316,1938,66471,66207,264,22203,22144,59,2016,7,145380965,143312704,2068261,64265540,62492744,1772796,60805010,60563515,241495,20310415,20256445,53970,Autogestion
2016-08-01,157980,155316,2664,69547,67466,2081,66306,65759,547,22127,22091,36,2016,8,144513775,142076863,2436912,63618808,61715198,1903610,60654073,60153702,500371,20240894,20207963,32931,Autogestion
2016-09-01,158265,153714,4551,70509,66660,3849,65770,65116,654,21986,21938,48,2016,9,144774478,140611417,4163061,64498806,60977901,3520905,60163763,59565512,598251,20111909,20068004,43905,Autogestion
2016-10-01,157215,154429,2786,69853,67597,2256,65407,64923,484,21955,21909,46,2016,10,143813975,141265470,2548505,63898721,61835031,2063690,59831703,59388963,442740,20083551,20041476,42075,Autogestion
2016-11-01,155345,150910,4435,68828,65002,3826,64759,64192,567,21758,21716,42,2016,11,142103379,138046430,4056949,62961095,59461229,3499866,59238940,58720273,518667,19903344,19864928,38416,Autogestion
2016-12-01,151290,148940,2350,65938,63958,1980,63803,63473,330,21549,21509,40,2016,12,138394026,136244353,2149673,60317437,58506220,1811217,58364431,58062561,301870,19712158,19675572,36586,Autogestion
2017-01-01,151793,148870,2923,67144,64912,2232,63233,62587,646,21416,21371,45,2017,1,138854150,136180320,2673830,61420639,59378901,2041738,57843017,57252084,590933,19590494,19549335,41159,Autogestion
2017-02-01,146497,145230,1267,64062,63205,857,61108,60745,363,21327,21280,47,2017,2,134009577,132850593,1158984,58601345,57817405,783940,55899151,55567096,332055,19509081,19466092,42989,Autogestion
2017-03-01,146169,145343,826,64160,63788,372,60798,60521,277,21211,21034,177,2017,3,133709538,132953960,755578,58690994,58350710,340284,55615574,55362189,253385,19402970,19241061,161909,Autogestion
2017-04-01,145540,143164,2376,64090,62172,1918,60335,59911,424,21115,21081,34,2017,4,133134152,130960699,2173453,58626961,56872458,1754503,55192039,54804186,387853,19315152,19284055,31097,Autogestion
2017-05-01,146161,144026,2135,65894,64041,1853,59473,59227,246,20794,20758,36,2017,5,133702222,131749223,1952999,60277188,58582145,1695043,54403517,54178490,225027,19021517,18988588,32929,Autogestion
2017-06-01,144214,139892,4322,64878,61096,3782,58926,58411,515,20410,20385,25,2017,6,131921181,127967604,3953577,59347789,55888176,3459613,53903143,53432046,471097,18670249,18647382,22867,Autogestion
2017-07-01,143312,140598,2714,64096,61847,2249,58719,58270,449,20497,20481,16,2017,7,131096069,128613425,2482644,58632450,56575161,2057289,53713787,53303065,410722,18749832,18735199,14633,Autogestion
2017-08-01,139639,138300,1339,61901,61277,624,58979,58274,705,18759,18749,10,2017,8,127736157,126511307,1224850,56624551,56053748,570803,53951625,53306724,644901,17159981,17150835,9146,Autogestion
2017-09-01,137427,135178,2249,60910,58935,1975,57362,57102,260,19155,19141,14,2017,9,125712706,123655426,2057280,55718022,53911380,1806642,52472457,52234625,237832,17522227,17509421,12806,Autogestion
2017-10-01,137098,134510,2588,60184,58193,1991,57427,56861,566,19487,19456,31,2017,10,125411750,123044366,2367384,55053910,53232628,1821282,52531917,52014168,517749,17825923,17797570,28353,Autogestion
2017-11-01,137609,134712,2897,61044,59096,1948,58120,57176,944,18445,18440,5,2017,11,137659751,134723798,2935953,61875412,59900887,1974525,58911592,57954737,956855,16872747,16868174,4573,Autogestion
2017-12-01,133061,132437,624,57926,57581,345,56732,56458,274,18403,18398,5,2017,12,134873279,134240790,632489,58714947,58365253,349694,57504685,57226957,277728,18653647,18648580,5067,Autogestion
